id,category_id,category_name,marker,color,x,y,occupied
1,1,writing_tools,mark0,blue,0.08,0.90,true
2,1,writing_tools,mark0,blue,0.12,0.88,true
3,1,writing_tools,mark0,blue,0.16,0.86,true
4,1,writing_tools,mark0,blue,0.20,0.84,true
5,1,writing_tools,mark0,blue,0.24,0.82,true
6,1,writing_tools,mark0,blue,0.28,0.80,true
7,1,writing_tools,mark0,blue,0.32,0.78,true
8,1,writing_tools,mark0,blue,0.36,0.76,true
9,1,writing_tools,mark0,blue,0.40,0.74,true
10,1,writing_tools,mark0,blue,0.44,0.72,true
11,1,writing_tools,mark0,blue,0.48,0.70,true
12,1,writing_tools,mark0,blue,0.52,0.68,true
13,2,foreign_currency,mark1,salmon,0.10,0.55,true
14,2,foreign_currency,mark1,salmon,0.14,0.53,true
15,2,foreign_currency,mark1,salmon,0.18,0.51,true
16,2,foreign_currency,mark1,salmon,0.22,0.49,true
17,2,foreign_currency,mark1,salmon,0.26,0.47,true
18,2,foreign_currency,mark1,salmon,0.30,0.45,true
19,2,foreign_currency,mark1,salmon,0.34,0.43,true
20,2,foreign_currency,mark1,salmon,0.38,0.41,true
21,2,foreign_currency,mark1,salmon,0.42,0.39,true
22,2,foreign_currency,mark1,salmon,0.46,0.37,true
23,3,business_cards,mark2,pink,0.36,0.60,true
24,3,business_cards,mark2,pink,0.40,0.58,true
25,3,business_cards,mark2,pink,0.44,0.56,true
26,3,business_cards,mark2,pink,0.48,0.54,true
27,3,business_cards,mark2,pink,0.52,0.52,true
28,3,business_cards,mark2,pink,0.56,0.50,true
29,3,business_cards,mark2,pink,0.60,0.48,true
30,3,business_cards,mark2,pink,0.64,0.46,true
31,3,business_cards,mark2,pink,0.68,0.44,true
32,3,business_cards,mark2,pink,0.72,0.42,true
33,4,project_leftovers,mark3,olive,0.42,0.28,true
34,4,project_leftovers,mark3,olive,0.46,0.30,true
35,4,project_leftovers,mark3,olive,0.50,0.32,true
36,4,project_leftovers,mark3,olive,0.54,0.34,true
37,4,project_leftovers,mark3,olive,0.58,0.36,true
38,4,project_leftovers,mark3,olive,0.62,0.38,true
39,4,project_leftovers,mark3,olive,0.66,0.40,true
40,4,project_leftovers,mark3,olive,0.70,0.42,true
41,5,leaves,mark4,green,0.62,0.62,true
42,5,leaves,mark4,green,0.66,0.60,true
43,5,leaves,mark4,green,0.70,0.58,true
44,5,leaves,mark4,green,0.74,0.56,true
45,5,leaves,mark4,green,0.78,0.54,true
46,5,leaves,mark4,green,0.82,0.52,true
47,5,leaves,mark4,green,0.86,0.50,true
48,5,leaves,mark4,green,0.90,0.48,true
49,6,publications,mark5,mint,0.58,0.76,true
50,6,publications,mark5,mint,0.62,0.74,true
51,6,publications,mark5,mint,0.66,0.72,true
52,6,publications,mark5,mint,0.70,0.70,true
53,6,publications,mark5,mint,0.74,0.68,true
54,6,publications,mark5,mint,0.78,0.66,true
55,6,publications,mark5,mint,0.82,0.64,true
56,7,cardboard_boxes,mark6,pale_pink,0.52,0.48,true
57,7,cardboard_boxes,mark6,pale_pink,0.56,0.46,true
58,7,cardboard_boxes,mark6,pale_pink,0.60,0.44,true
59,7,cardboard_boxes,mark6,pale_pink,0.64,0.42,true
60,7,cardboard_boxes,mark6,pale_pink,0.68,0.40,true
61,7,cardboard_boxes,mark6,pale_pink,0.72,0.38,true
62,8,receipts,mark7,cyan,0.82,0.34,true
63,8,receipts,mark7,cyan,0.86,0.32,true
64,8,receipts,mark7,cyan,0.90,0.30,true
65,8,receipts,mark7,cyan,0.94,0.28,true
66,8,receipts,mark7,cyan,0.98,0.26,true
67,9,loyalty_cards,mark8,red,0.78,0.66,true
68,9,loyalty_cards,mark8,red,0.82,0.64,true
69,9,loyalty_cards,mark8,red,0.86,0.62,true
70,9,loyalty_cards,mark8,red,0.90,0.60,true
71,9,loyalty_cards,mark8,red,0.94,0.58,true
72,10,souvenirs,mark9,orange,0.88,0.18,true
73,10,souvenirs,mark9,orange,0.92,0.16,true
74,10,souvenirs,mark9,orange,0.96,0.14,true
75,0,empty_slot,none,lightgray,0.05,0.05,false
76,0,empty_slot,none,lightgray,0.10,0.05,false
77,0,empty_slot,none,lightgray,0.15,0.05,false
78,0,empty_slot,none,lightgray,0.20,0.05,false
79,0,empty_slot,none,lightgray,0.25,0.05,false
80,0,empty_slot,none,lightgray,0.30,0.05,false
81,0,empty_slot,none,lightgray,0.35,0.05,false
82,0,empty_slot,none,lightgray,0.40,0.05,false
83,0,empty_slot,none,lightgray,0.45,0.05,false
84,0,empty_slot,none,lightgray,0.50,0.05,false
85,0,empty_slot,none,lightgray,0.55,0.05,false
86,0,empty_slot,none,lightgray,0.60,0.05,false
87,0,empty_slot,none,lightgray,0.65,0.05,false
88,0,empty_slot,none,lightgray,0.70,0.05,false
89,0,empty_slot,none,lightgray,0.75,0.05,false
90,0,empty_slot,none,lightgray,0.80,0.05,false
91,0,empty_slot,none,lightgray,0.85,0.05,false
92,0,empty_slot,none,lightgray,0.90,0.05,false
93,0,empty_slot,none,lightgray,0.95,0.05,false
94,0,empty_slot,none,lightgray,0.15,0.90,false
95,0,empty_slot,none,lightgray,0.20,0.88,false
96,0,empty_slot,none,lightgray,0.25,0.86,false
97,0,empty_slot,none,lightgray,0.30,0.84,false
98,0,empty_slot,none,lightgray,0.35,0.82,false
99,0,empty_slot,none,lightgray,0.40,0.80,false
100,0,empty_slot,none,lightgray,0.45,0.78,false